Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,18-Feb-2025,27-Mar-2025,CE,23000.00,521.05,522.10,430.00,483.25,477.30,483.25,14171.00,249475.76,5026.01,1114575.00,73350.00,22945.30
NIFTY,19-Feb-2025,27-Mar-2025,CE,23000.00,458.00,557.00,437.00,474.50,472.00,474.50,18312.00,322657.94,6775.94,1300850.00,186275.00,22932.90
NIFTY,20-Feb-2025,27-Mar-2025,CE,23000.00,429.00,456.50,415.00,433.00,429.00,433.00,20622.00,362495.28,6765.78,1650400.00,349550.00,22913.15
NIFTY,21-Feb-2025,27-Mar-2025,CE,23000.00,413.00,432.35,337.05,357.60,345.00,357.60,34810.00,610128.26,9655.76,2132300.00,481900.00,22795.90
NIFTY,24-Feb-2025,27-Mar-2025,CE,23000.00,310.00,315.00,220.45,230.10,225.00,230.10,61668.00,1075235.92,11462.92,3211950.00,1079650.00,22553.35
NIFTY,25-Feb-2025,27-Mar-2025,CE,23000.00,219.05,229.40,190.00,198.30,190.00,198.30,36272.00,631320.79,5628.79,3511875.00,299925.00,22547.55
NIFTY,27-Feb-2025,27-Mar-2025,CE,23000.00,193.00,199.95,163.60,169.35,165.00,169.35,44911.00,780509.59,5794.84,3908700.00,396825.00,22545.05
NIFTY,28-Feb-2025,27-Mar-2025,CE,23000.00,139.85,139.85,64.05,68.65,66.15,68.65,137078.00,2373447.15,8851.65,5009075.00,1100375.00,22124.70
NIFTY,03-Mar-2025,27-Mar-2025,CE,23000.00,78.65,78.65,45.75,56.05,56.00,56.05,89724.00,1551501.01,3762.01,5597925.00,588850.00,22119.30
NIFTY,04-Mar-2025,27-Mar-2025,CE,23000.00,52.95,52.95,38.05,44.05,43.00,44.05,64277.00,1110883.65,2105.40,6030075.00,432150.00,22082.65
NIFTY,05-Mar-2025,27-Mar-2025,CE,23000.00,38.00,90.00,38.00,77.05,78.65,77.05,95920.00,1659460.75,4840.75,5590175.00,-439900.00,22337.30
NIFTY,06-Mar-2025,27-Mar-2025,CE,23000.00,99.00,117.80,62.90,113.20,113.55,113.20,130399.00,2258369.18,8986.43,5595925.00,5750.00,22544.70
NIFTY,07-Mar-2025,27-Mar-2025,CE,23000.00,104.85,144.90,99.45,113.80,109.50,113.80,108265.00,1877193.53,9622.28,5578525.00,-17400.00,22552.50
NIFTY,10-Mar-2025,27-Mar-2025,CE,23000.00,99.90,131.85,66.75,71.00,67.80,71.00,94352.00,1634502.37,6930.37,5687700.00,109175.00,22460.30
NIFTY,11-Mar-2025,27-Mar-2025,CE,23000.00,59.95,85.80,43.50,77.90,82.95,77.90,88507.00,1531032.69,4286.94,5947700.00,260000.00,22497.90
NIFTY,12-Mar-2025,27-Mar-2025,CE,23000.00,82.45,88.55,40.00,56.90,55.65,56.90,97057.00,1678184.37,3951.12,5937675.00,-10025.00,22470.50
NIFTY,13-Mar-2025,27-Mar-2025,CE,23000.00,60.05,62.15,30.20,31.20,30.25,31.20,121531.00,2100304.60,3894.85,6290875.00,353200.00,22397.20
NIFTY,17-Mar-2025,27-Mar-2025,CE,23000.00,40.05,59.65,30.40,39.10,39.05,39.10,153296.00,2649059.53,4703.53,6581400.00,290525.00,22508.75
NIFTY,18-Mar-2025,27-Mar-2025,CE,23000.00,59.95,128.75,51.90,120.45,124.50,120.45,262391.00,4544442.11,18197.36,5949700.00,-631700.00,22834.30
